AYUNTAMIENTO SIN RESULTADOS,URL DE RESULTADOS CORRECTOS,RUTA,PERMITE / PROBLEMA
https://vallegranrey.es/,https://vallegranrey.es/ayuntamiento/grupo-de-gobierno/,home > ayuntamiento > grupo de gobierno,Nombres concejales y cargos completos
,https://vallegranrey.es/areas/cultura/,home > áreas > cada área,Correo electrónico y teléfono del concejal de cada área
https://www.ayuntamientovallehermoso.org (¡url incorrecta!) --> https://aytovallehermoso.net/,,home > gobierno municipal > grupo de gobierno municipal ,Nombres concejales y cargos completos
,,,
https://www.elpinardeelhierro.com (¡url incorrecta!) --> https://www.aytoelpinar.org/,https://www.aytoelpinar.org/index.php/corporacion/equipo-de-gobierno,home > corporación > equipo de gobierno,Nombres concejales y cargos completos
https://www.balta.org,https://brenaalta.es/corporacion-local/,home > ayuntamiento > corporación local,"Nombres concejales, cargos completos y teléfonos"
https://www.barlovento.es,https://barlovento.es/departamentos/,home >  ayuntamiento > departamentos > cada área,Nombres responsables y contactos de cada área
https://aytovalverde.org/,https://aytovalverde.org/ayuntamiento/miembros-de-la-corporacion/,home > ayuntamiento > miembros de la corporación,Correo electrónico y teléfono del concejal de cada área
https://www.fuencalientedelapalma.es,https://fuencalientedelapalma.es/ayuntamiento/grupo-de-gobierno//,home > el ayuntamiento > grupo de gobierno,Nombres concejales y cargos completos
,https://fuencalientedelapalma.es/ayuntamiento/directorio-contactos/,home > el ayuntamiento > directorio de contactos,Correo electrónico y teléfono del concejal de cada área
https://elpaso.es/,https://elpaso.es/concejalias/,home > ayuntamiento > corporación municipal > concejalías,Nombres concejales y cargos completos
,https://elpaso.es/concejalia/eloy-martin/,home > ayuntamiento > corporación municipal > alcaldía > botoncito envío correo,Nombre y correo alcalde
https://www.puntagorda.es/ ,https://www.puntagorda.es/departamentos/,home > ayuntamiento > departamentos,Correo electrónico y teléfono del concejal de cada área
,https://www.puntagorda.es/ayuntamiento/equipo-de-gobierno/,home > ayuntamiento > equipo de gobierno,Correo electrónico y teléfono del concejal de cada área
,https://www.puntagorda.es/ayuntamiento/concejalias/,home > ayuntamiento > concejalias,Correo electrónico y teléfono del concejal de cada área
https://puntallana.es/,https://puntallana.es/grupo-de-gobierno/,home > ayuntamiento > corporación municipal,"Nombres concejales y cargos completos. Problema: vienen en imagen, no como texto scrapeable"
,https://puntallana.es/telefonos-interes/,home > ayuntamiento > teléfonos de interés,"Teléfonos de interés. Problema: vienen en imagen, no como texto scrapeable"
https://sanandresysauces.es/,https://sanandresysauces.es/ayuntamiento/agenda-telefonica/,home > ayuntamiento > agenda telefónica,Contactos telefónicos de cada área
,https://sanandresysauces.es/ayuntamiento/departamentos/,home > ayuntamiento > dependencias,Nombres responsables y contactos de cada área
https://www.santacruzdelapalma.es/,https://www.santacruzdelapalma.es/web/sclapalma/organigrama#concejalia,home > organización municipal > equipo de gobierno,Nombres concejales y cargos completos con teléfonos y correos. Problema: hay que scrollear toda la página para que carguen
https://villademazo.com/,https://villademazo.com/el-ayuntamiento/servicios/,home > el ayuntamiento > servicios,Nombres responsables y contactos de cada área
https://www.tijarafe.com (¡url incorrecta!) --> https://www.tijarafe.net/,https://www.tijarafe.net/index.php/concejalias,home,"Nombres concejales, cargos completos y teléfonos"
https://www.tazacorte.es,,,Web caída
,,,Web no segura
https://www.mogan.es/,https://www.mogan.es/4-contratacion,home > áreas y concejalías > cada área,Nombres concejales y cargos completos con teléfonos y correos. 
https://www.aytoagaete.es/ (¡url incorrecta!) --> https://www.agaete.es/ciudadano,https://www.agaete.es/ayuntamiento/corporacion-municipal,home > ayuntamiento > cooperación municipal,Nombres concejales y teléfonos
,https://www.agaete.es/ayuntamiento/equipo-de-gobierno,home > ayuntamiento > equipo de gobierno,Cargos completos
https://aguimes.es,https://aguimes.es/corporacion-municipal/,home > ayuntamiento > corporación > botoncito,Nombres concejales y cargos completos con correos. 
https://www.artenara.es,https://www.artenara.es/portal-ciudadano/,,"Hay que elegir ""https://www.artenara.es/portal-ciudadano/"" para acceder a la web correcta"